iter	Passed	Remaining
0	162	162690
1	164	81854
2	164	54748
3	165	41286
4	166	33165
5	168	27906
6	169	24001
7	169	21060
8	170	18770
9	171	16936
10	171	15437
11	172	14188
12	172	13129
13	173	12223
14	174	11438
15	174	10753
16	175	10145
17	176	9606
18	176	9122
19	177	8686
20	177	8294
21	178	7938
22	179	7612
23	179	7311
24	180	7035
25	181	6806
26	182	6583
27	183	6365
28	183	6159
29	184	5966
30	185	5786
31	185	5617
32	186	5458
33	186	5308
34	187	5167
35	187	5034
36	188	4907
37	189	4787
38	189	4673
39	190	4565
40	190	4462
41	191	4364
42	191	4270
43	192	4190
44	193	4105
45	194	4023
46	194	3945
47	195	3870
48	196	3822
49	197	3754
50	198	3688
51	198	3624
52	199	3562
53	199	3502
54	200	3444
55	201	3389
56	201	3335
57	202	3283
58	202	3234
59	203	3185
60	203	3139
61	204	3093
62	205	3049
63	205	3009
64	206	2970
65	207	2930
66	207	2891
67	207	2849
68	208	2812
69	209	2776
70	209	2742
71	211	2719
72	211	2687
73	212	2655
74	212	2624
75	213	2593
76	213	2563
77	214	2534
78	214	2506
79	215	2478
80	216	2451
81	216	2425
82	217	2399
83	217	2374
84	218	2347
85	218	2324
86	219	2298
87	219	2277
88	220	2255
89	220	2233
90	221	2212
91	222	2191
92	222	2171
93	223	2152
94	223	2133
95	226	2128
96	227	2118
97	228	2099
98	228	2081
99	229	2063
100	229	2046
101	230	2026
102	230	2009
103	231	1992
104	231	1976
105	232	1960
106	232	1944
107	233	1928
108	234	1914
109	234	1900
110	235	1885
111	236	1871
112	236	1856
113	237	1842
114	237	1829
115	238	1814
116	238	1801
117	239	1788
118	240	1781
119	241	1771
120	242	1758
121	242	1746
122	242	1732
123	243	1720
124	244	1708
125	244	1696
126	245	1685
127	245	1672
128	246	1661
129	246	1650
130	247	1639
131	247	1630
132	248	1621
133	249	1611
134	249	1601
135	250	1591
136	251	1581
137	251	1571
138	252	1561
139	252	1552
140	253	1542
141	253	1533
142	254	1525
143	255	1519
144	256	1510
145	256	1501
146	257	1492
147	257	1484
148	258	1476
149	258	1467
150	259	1459
151	260	1450
152	260	1442
153	261	1434
154	261	1426
155	262	1421
156	263	1413
157	263	1406
158	264	1398
159	265	1391
160	265	1384
161	266	1376
162	266	1369
163	267	1362
164	267	1355
165	268	1348
166	269	1343
167	270	1338
168	270	1332
169	271	1325
170	272	1318
171	272	1312
172	273	1305
173	273	1299
174	274	1293
175	274	1287
176	275	1281
177	276	1275
178	276	1269
179	277	1263
180	277	1256
181	278	1250
182	278	1244
183	279	1238
184	279	1233
185	280	1227
186	281	1221
187	281	1216
188	282	1210
189	282	1205
190	283	1199
191	285	1199
192	285	1194
193	286	1190
194	287	1185
195	287	1180
196	288	1177
197	289	1173
198	290	1170
199	291	1165
200	292	1160
201	292	1156
202	293	1151
203	293	1146
204	294	1141
205	294	1136
206	295	1131
207	296	1127
208	296	1122
209	297	1117
210	297	1113
211	298	1108
212	300	1108
213	300	1104
214	301	1099
215	301	1095
216	302	1091
217	302	1086
218	303	1082
219	304	1078
220	304	1073
221	305	1069
222	305	1065
223	306	1061
224	306	1057
225	307	1053
226	308	1049
227	308	1044
228	309	1040
229	309	1036
230	310	1032
231	310	1029
232	311	1025
233	311	1021
234	312	1017
235	313	1013
236	314	1013
237	315	1010
238	316	1006
239	316	1002
240	317	998
241	317	995
242	318	992
243	319	988
244	319	984
245	320	981
246	320	977
247	321	974
248	321	970
249	322	967
250	322	963
251	323	960
252	324	956
253	324	953
254	325	949
255	325	946
256	326	943
257	326	939
258	327	936
259	327	933
260	328	929
261	330	930
262	331	928
263	332	926
264	333	923
265	333	921
266	334	918
267	335	915
268	336	913
269	337	912
270	338	911
271	339	908
272	340	907
273	341	905
274	346	912
275	347	910
276	347	907
277	348	905
278	349	903
279	350	900
280	350	897
281	351	895
282	352	892
283	352	889
284	353	887
285	354	884
286	355	882
287	355	879
288	356	877
289	357	875
290	359	875
291	360	873
292	360	870
293	361	868
294	362	865
295	363	863
296	363	860
297	364	858
298	365	856
299	365	853
300	366	851
301	368	850
302	368	848
303	369	846
304	370	843
305	371	841
306	371	839
307	373	839
308	374	837
309	375	834
310	376	833
311	377	832
312	378	830
313	379	828
314	380	827
315	383	830
316	384	829
317	387	830
318	391	835
319	395	841
320	397	841
321	399	841
322	401	842
323	405	845
324	406	844
325	409	847
326	410	845
327	411	843
328	412	840
329	412	838
330	413	835
331	413	832
332	414	830
333	415	827
334	415	825
335	416	822
336	416	819
337	417	817
338	417	814
339	418	812
340	419	809
341	419	807
342	420	804
343	420	802
344	421	799
345	422	797
346	424	797
347	424	796
348	425	793
349	426	791
350	426	788
351	427	786
352	427	783
353	428	781
354	428	779
355	429	776
356	429	774
357	430	771
358	430	769
359	431	767
360	432	764
361	432	762
362	433	760
363	433	757
364	434	755
365	434	753
366	435	751
367	436	749
368	438	750
369	439	748
370	440	745
371	440	743
372	441	741
373	441	739
374	442	737
375	442	734
376	443	732
377	444	730
378	444	728
379	445	726
380	445	723
381	446	721
382	446	719
383	447	717
384	447	715
385	448	713
386	449	711
387	449	709
388	450	707
389	450	705
390	451	703
391	452	702
392	453	701
393	454	699
394	455	697
395	455	695
396	456	693
397	456	690
398	457	688
399	457	686
400	458	684
401	459	682
402	459	680
403	460	678
404	460	676
405	461	674
406	461	672
407	462	671
408	463	669
409	463	667
410	464	665
411	465	663
412	465	661
413	466	659
414	466	657
415	469	658
416	469	656
417	470	655
418	471	653
419	472	651
420	473	650
421	473	649
422	474	647
423	475	646
424	476	644
425	476	642
426	477	640
427	478	639
428	478	637
429	479	635
430	479	633
431	480	631
432	481	629
433	481	628
434	483	628
435	484	627
436	485	625
437	486	623
438	486	622
439	487	620
440	488	619
441	489	617
442	490	616
443	490	614
444	491	612
445	491	610
446	492	609
447	493	607
448	493	605
449	494	603
450	494	602
451	495	600
452	495	598
453	496	597
454	499	597
455	499	596
456	500	594
457	500	592
458	501	590
459	501	589
460	502	587
461	503	585
462	503	584
463	504	582
464	504	580
465	505	578
466	505	577
467	506	575
468	506	573
469	507	572
470	508	570
471	508	568
472	509	567
473	509	565
474	510	563
475	510	562
476	511	560
